SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
443694000,Type II diabetes mellitus - poor control,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
443694000,Type 2 diabetes mellitus - poor control,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
190388001,Type II diabetes mellitus with multiple complications,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
190388001,Type 2 diabetes mellitus with multiple complications,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
44054006,Type II diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
44054006,Type 2 diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
426875007,Latent autoimmune diabetes mellitus in adult,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
237632004,Insulin dependent diabetes mellitus with hypoglycaemic coma,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
314771006,Type 1 diabetes mellitus with hypoglycaemic coma,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
111552007,Insulin-dependent diabetes without complication,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
313435000,Type I diabetes mellitus without complication,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
313435000,Type 1 diabetes mellitus without complication,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
190372001,Type I diabetes mellitus maturity onset,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
190372001,Type 1 diabetes mellitus maturity onset,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
444073006,Type I diabetes mellitus - poor control,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
444073006,Type 1 diabetes mellitus - poor control,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
11530004,Unstable insulin dependent diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
290002008,Unstable type I diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
290002008,Unstable type 1 diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
73211009,Insulin dependent diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
46635009,Type I diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
46635009,Type 1 diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
237604008,Maturity onset diabetes in youth type 2,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
609562003,Maturity onset diabetes in youth type 1,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
609561005,Maturity onset diabetes in youth,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
609561005,Diabetes mellitus autosomal dominant,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
190406000,Malnutrition-related diabetes mellitus with ketoacidosis,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
237599002,Insulin treated non-insulin dependent diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
237599002,Insulin treated Type 2 diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
313436004,Non-insulin-dependent diabetes mellitus without complication,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
44054006,NIDDM - Non-insulin dependent diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
385041000000108,Unspecified diabetes mellitus with multiple complications,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
111552007,Insulin-dependent diabetes without complication,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
11530004,Unstable insulin dependent diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
420422005,Diabetes mellitus NOS with ketoacidotic coma,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
420662003,Other specified diabetes mellitus with coma,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
422126006,Diabetes mellitus NOS with hyperosmolar coma,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
190331003,"Diabetes mellitus, adult onset, with hyperosmolar coma",Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
190330002,"Diabetes mellitus, juvenile type, with hyperosmolar coma",Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
422126006,Diabetes mellitus with hyperosmolar coma,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
420422005,Diabetes mellitus NOS with ketoacidosis,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
420422005,Other specified diabetes mellitus with ketoacidosis,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
420422005,Diabetes mellitus with ketoacidosis,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
111552007,Diabetes mellitus NOS with no mention of complication,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
44054006,Non-insulin dependent diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
73211009,Insulin dependent diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
313435000,"Diabetes mellitus, juvenile type, no mention of complication",Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
111552007,Diabetes mellitus with no mention of complication,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
73211009,Diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
314194001,Diabetic on insulin and oral treatment,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
527691000000107,Diabetic on subcutaneous treatment,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
170770003,Diabetic-uncooperative patient,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
170769004,Diabetic - cooperative patient,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
268519009,Diabetic - poor control NOS,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
11530004,Brittle diabetes,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
11530004,Unstable diabetes,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
268519009,Diabetic - poor control,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
170747006,Diabetic on insulin,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
170746002,Diabetic on oral treatment,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
170745003,Diabetic on diet only,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
385051000000106,"Pre-existing diabetes mellitus, unspecified",Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
199231005,Pre-existing malnutrition-related diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
199230006,"Pre-existing diabetes mellitus, non-insulin-dependent",Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
385051000000106,"Pre-existing diabetes mellitus, insulin-dependent",Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
74627003,Diabetes mellitus NOS with unspecified complication,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
74627003,Diabetes mellitus with unspecified complication,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
73211009,Diabetes mellitus NOS with other specified manifestation,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
74627003,Diabetes mellitus with other specified manifestation,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
8801005,Secondary diabetes mellitus without complication,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
8801005,Secondary diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
51002006,Secondary pancreatic diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
237599002,Insulin treated Type II diabetes mellitus,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
719216001,Type II diabetes mellitus with hypoglycaemic coma,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
719216001,Type 2 diabetes mellitus with hypoglycaemic coma,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
313436004,Type II diabetes mellitus without complication,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
313436004,Type 2 diabetes mellitus without complication,Diabetes Mellitus,,"['efi', 'Lauren_codelist']",
444094009,Diabetic child,Diabetes Mellitus,,['Lauren_codelist'],
165681007,hb. a1c > 10% - bad control,Diabetes Mellitus,,['efi'],
365845005,hba1 - diabetic control,Diabetes Mellitus,,['efi'],
166928007,glucose tol. test diabetic,Diabetes Mellitus,,['efi'],
170742000,Diabetic monitoring,Diabetes Mellitus,,['efi'],
170743005,initial diabetic assessment,Diabetes Mellitus,,['efi'],
170744004,follow-up diabetic assessment,Diabetes Mellitus,,['efi'],
